Boyd ADMM Lasso rho/alpha tuning
Run directory: example/boyd_admm_lasso_20260513
MATLAB version: 25.1.0.2943329 (R2025a)
Timestamp: 2026-05-13 12:49:49
Baseline objective: 17.2693553575
Objective tolerance: 0.1

=== Trial 01: rho=0.1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
 17	    0.3122	    0.0809	    0.0375	    0.0556	     16.53
 18	    0.2787	    0.0814	    0.0319	    0.0560	     16.67
 19	    0.2485	    0.0817	    0.0304	    0.0563	     16.78
 20	    0.2252	    0.0818	    0.0276	    0.0566	     16.85
 21	    0.2074	    0.0819	    0.0239	    0.0569	     16.91
 22	    0.1909	    0.0819	    0.0199	    0.0571	     16.95
 23	    0.1768	    0.0819	    0.0161	    0.0574	     16.98
 24	    0.1640	    0.0818	    0.0127	    0.0576	     17.01
 25	    0.1519	    0.0818	    0.0109	    0.0578	     17.04
 26	    0.1404	    0.0818	    0.0102	    0.0580	     17.06
 27	    0.1310	    0.0818	    0.0089	    0.0582	     17.09
 28	    0.1231	    0.0819	    0.0069	    0.0584	     17.11
 29	    0.1158	    0.0819	    0.0049	    0.0586	     17.13
 30	    0.1086	    0.0819	    0.0045	    0.0587	     17.15
 31	    0.1014	    0.0819	    0.0048	    0.0589	     17.17
 32	    0.0953	    0.0819	    0.0045	    0.0590	     17.19
 33	    0.0900	    0.0820	    0.0036	    0.0591	     17.20
 34	    0.0851	    0.0820	    0.0025	    0.0593	     17.22
 35	    0.0804	    0.0820	    0.0017	    0.0594	     17.23
历时 0.324110 秒。

summary: iterations=35 final_objective=17.2336165633 r_norm=0.080366629301 eps_pri=0.0820125443664 s_norm=0.00173523041448 eps_dual=0.0593810619197 valid=1 elapsed_seconds=0.324340 status=success

=== Trial 06: rho=0.3 alpha=1.2 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    4.8049	    0.0551	    0.0000	    0.0244	      0.40
  2	    3.9149	    0.0494	    0.4556	    0.0381	      2.88
  3	    2.7623	    0.0532	    0.7962	    0.0470	      7.07
  4	    2.0508	    0.0731	    0.8016	    0.0512	     11.54
  5	    1.8485	    0.0891	    0.6034	    0.0523	     15.03
  6	    1.5906	    0.0951	    0.4269	    0.0520	     17.01
  7	    1.2217	    0.0942	    0.3550	    0.0515	     17.52
  8	    0.9585	    0.0894	    0.2937	    0.0512	     17.14
  9	    0.8028	    0.0841	    0.2203	    0.0516	     16.50
 10	    0.6612	    0.0801	    0.1707	    0.0524	     16.03
 11	    0.5300	    0.0784	    0.1489	    0.0533	     15.88
 12	    0.4499	    0.0786	    0.1233	    0.0543	     16.01
 13	    0.4044	    0.0799	    0.0903	    0.0550	     16.27
 14	    0.3573	    0.0811	    0.0656	    0.0556	     16.53
 15	    0.3043	    0.0818	    0.0559	    0.0561	     16.73
